GEOID,ID,BG_LA_pct
250010101001,4788,0.9999999999999061
250010101001,4789,9.188298018578128e-16
250010101001,4790,6.12118149249026e-14
250010101001,4791,5.408566333663034e-15
250010101001,4792,8.248762506769118e-15
250010101001,4794,1.8084241100201498e-14
250010101002,4788,8.697547609157582e-15
250010101002,4790,0.999999999999981
250010101002,4794,1.019106588547757e-14
250010101003,4790,2.4535762058644856e-13
250010101003,4791,2.1672954566274507e-6
250010101003,4794,0.999997832704298
250010101004,4788,1.7101490895794302e-14
250010101004,4791,0.9995423515744718
250010101004,4792,4.576484253920002e-4
250010101004,4794,1.1902373728262837e-13
250010101005,4788,2.5120904001846673e-13
250010101005,4791,1.8896029152394224e-13
250010101005,4792,0.9999999999995599
250010102061,4601,0.9999139199225028
250010102061,4602,8.608007748942238e-5
250010102061,4603,7.682153865078827e-15
250010102062,4603,5.663344879203393e-14
250010102062,4604,0.9999999999999429
250010102062,4795,4.089584954679433e-16
250010102063,4601,0.0013548987973384915
250010102063,4603,0.9986447063451408
250010102063,4604,8.46829595720484e-15
250010102063,4795,3.9485751223612177e-7
250010102081,4789,3.836324356114051e-14
250010102081,4793,0.9999999999998913
250010102081,4795,7.040277472972813e-14
250010102082,4788,1.2076508811952151e-4
250010102082,4789,0.9998792349118016
250010102082,4793,7.891577740689737e-14
250010102083,4603,6.759252329024826e-7
250010102083,4604,5.514209119937441e-14
250010102083,4793,3.788411825403314e-15
250010102083,4795,0.9999993240747082
250010103041,4729,9.48672786297423e-4
250010103041,4730,3.4311115720367856e-15
250010103041,4731,0.9990513272136496
250010103041,4787,4.955339698538252e-14
250010103042,4730,0.9994076522011661
250010103042,4731,2.7854907256679203e-7
250010103042,4748,6.402801403374872e-14
250010103042,4787,5.920692496973223e-4
250010103043,4730,2.4378437306017816e-16
250010103043,4731,1.5508636431915205e-14
250010103043,4747,2.265671017128031e-14
250010103043,4748,3.1838134259578636e-5
250010103043,4750,1.0018786974418047e-7
250010103043,4787,0.9999680616778323
250010103061,4602,3.083231843960949e-14
250010103061,4748,3.433132079400853e-13
250010103061,4749,0.9999999999996259
250010103062,4730,4.64033094414393e-5
250010103062,4748,0.9999400834882443
250010103062,4749,4.519218637231076e-14
250010103062,4787,1.3513202269083643e-5
250010103063,4601,0.0029037807198209783
250010103063,4602,0.9970962192799661
250010103063,4748,9.676375195171996e-14
